PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255),RGB(16)
-0.06697078,0.8941176,-0.1334116,0.07404449,0.3333333,0.9470588,246,241,236,f6f1ec
-0.715875,-0.01176471,-0.6751998,0.1296524,0.984127,0.4941176,250,194,1,fac201
-0.07361656,0.9490197,-0.1529366,0.07139999,0.5384616,0.9745098,252,248,245,fcf8f5
0.06624925,0.517647,-0.03828604,0.8334,0.08943089,0.7588235,199,187,199,c7bbc7
0.09400916,0.682353,0.09740923,0.6221733,0.1851852,0.8411765,207,211,222,cfd3de
-0.4883266,-0.4156862,-0.6485566,0.1027158,0.8926174,0.2921569,141,90,8,8d5a08
-0.6520931,-0.04313725,-0.7131163,0.1178907,0.9672131,0.4784314,240,171,4,f0ab04
-0.154691,-0.1294117,-0.08939732,0.1666,0.1801802,0.4352942,131,131,91,83835b
-0.379122,-0.05882353,-0.6743984,0.08150859,0.775,0.4705882,213,117,27,d5751b
-0.04386136,0.862745,-0.09112091,0.07139999,0.2,0.9313725,241,236,233,f1ece9
-0.2024021,-0.2431372,-0.6896094,0.04543639,0.7409326,0.3784314,168,64,25,a84019
-0.2444265,-0.3019608,-0.2247586,0.1316677,0.3483146,0.3490196,120,107,58,786b3a
-0.6467441,-0.07058823,-0.7483426,0.1134298,0.9915612,0.4647059,236,161,1,eca101
0.09808882,0.6313726,0.1527059,0.5908727,0.2340426,0.8156863,197,207,219,c5cfdb
-0.2677693,-0.02745098,-0.6743127,0.06016114,0.7258064,0.4862745,214,99,34,d66322
-0.7490792,-0.003921568,-0.6505222,0.1361889,0.992126,0.4980392,253,206,0,fdce00
-0.2354069,0.1058824,-0.2807061,0.1110667,0.3684211,0.5529412,183,155,99,b79b63
-0.3779896,-0.3215686,-0.2316766,0.1624864,0.4682081,0.3392157,127,125,46,7f7d2e
-0.5809032,-0.2666667,-0.7430524,0.1056044,0.9786096,0.3666667,185,117,2,b97502
0.06859472,0.427451,0.131831,0.5763583,0.1643836,0.7137255,170,183,194,aab7c2
